gene,logfoldchange,pval,pval_adj,score
ENSG00000291063,4.716129,0.0021810072390885324,0.891954067671528,3.6186163
UBE2E2,6.1705723,0.0017241253150294894,0.759344576246257,3.618122
UNC5C,7.6906567,0.001464735488736608,0.745452714734351,3.6157477
ADGRB3,26.113773,0.0016731276774110365,0.7579321736982544,3.6146238
GABRB2,4.236085,0.0016878238083403623,0.7579321736982544,3.5824833
COL4A2,5.678499,0.0021466850694520177,0.891954067671528,3.5677137
PLXDC2,5.9731174,0.0013937158412470957,0.745452714734351,3.551774
VAV3,5.169437,0.0026187937021499336,0.9269594877670725,3.5366623
FRMD5,5.3711786,0.0014596734568540913,0.745452714734351,3.5312045
SHISA9,12.315555,0.0021333126521899935,0.891954067671528,3.5089402
R3HDM1,5.798623,0.0015556482774266539,0.7507416768918832,3.5080092
ZNF618,4.346955,0.002452089039207551,0.9269594877670725,3.505697
FOXP4,4.3487167,0.002797884699082893,0.9269594877670725,3.4715445
ANO1,7.1995406,0.003775171317620632,0.9269594877670725,3.4447806
ENSG00000283674,4.227242,0.0025957386509681745,0.9269594877670725,3.392365
KLHL5,4.3948393,0.0033177988171522316,0.9269594877670725,3.3753333
RALGPS2,3.3627422,0.0025858541448094373,0.9269594877670725,3.3628047
CPNE8,4.166425,0.0032548258301141222,0.9269594877670725,3.3230577
HS6ST3,12.102184,0.0032003875633996363,0.9269594877670725,3.3216472
PRMT8,4.73099,0.003999683415641449,0.9269594877670725,3.3138483
SNHG14,18.021255,0.002690934297641406,0.9269594877670725,3.2941844
XKR6,4.2039385,0.002823948970820483,0.9269594877670725,3.2737024
EPHB2,4.329871,0.0033283604194151357,0.9269594877670725,3.2665148
CHST11,7.3583126,0.0037453957121827432,0.9269594877670725,3.252063
SUPT3H,4.199626,0.00353902115851555,0.9269594877670725,3.242075
PIP5K1B,5.0845995,0.005005014734369036,0.9269594877670725,3.2306585
TAF4B,4.706858,0.005169789845828139,0.9269594877670725,3.2257996
SGCD,5.7839136,0.003604837127010492,0.9269594877670725,3.2189796
CHD5,2.982804,0.0034647644122124096,0.9269594877670725,3.2029881
PLEKHA5,6.794349,0.0039576030527761425,0.9269594877670725,3.1936946
AUTS2,45.864265,0.004101120578659419,0.9269594877670725,3.1885056
CCDC14,2.7739267,0.0036589237287954785,0.9269594877670725,3.1772692
TMEM132D,10.9039955,0.005325144984892044,0.9269594877670725,3.1610289
B3GLCT,4.7848554,0.006011804757074267,0.9269594877670725,3.1558394
HSPA12A,3.602743,0.004640264632589183,0.9269594877670725,3.1541452
ENSG00000291113,4.658287,0.006049288336854962,0.9269594877670725,3.150784
BOC,3.772235,0.004381919632829623,0.9269594877670725,3.1439817
HUNK,3.4391794,0.004502441503335273,0.9269594877670725,3.1382337
MAGI1,6.6003013,0.004427465300750869,0.9269594877670725,3.135797
RAPGEF4,4.9071555,0.006301457738082243,0.9269594877670725,3.1127236
SDK1,23.97505,0.007088455598179822,0.9269594877670725,3.061669
COL5A1,4.880944,0.007379942303732713,0.9269594877670725,3.0609398
DIPK2A,2.9986985,0.005306491068248275,0.9269594877670725,3.059341
EXOC6B,5.557147,0.005039782012175081,0.9269594877670725,3.057086
DCC,15.694715,0.005466474218512717,0.9269594877670725,3.046567
SLC22A15,2.927558,0.0056240043653599655,0.9269594877670725,3.0246434
ENSG00000275443,8.295638,0.008994594991530006,0.9269594877670725,3.0156791
ENSG00000291189,4.531978,0.008177059827131981,0.9269594877670725,3.0135047
CTNNB1,3.0173595,0.006428505613143422,0.9269594877670725,3.0088913
ATP2B2,4.5227275,0.006886277110559433,0.9269594877670725,2.9945488
COL4A1,4.7488375,0.007157817845624899,0.9269594877670725,2.991388
NRP2,3.218032,0.006387638367500462,0.9269594877670725,2.9904573
ATP2C1,3.0008852,0.00620208469546799,0.9269594877670725,2.9845319
BAZ2B,4.094405,0.00600447708461902,0.9269594877670725,2.9778142
PTGFRN,3.230429,0.007992381878665052,0.9269594877670725,2.9500422
SH3RF1,4.484399,0.009062940185087229,0.9269594877670725,2.949607
SNAP91,3.6607082,0.006519359748884253,0.9269594877670725,2.9467103
TENM3,10.234762,0.008957543361909834,0.9269594877670725,2.939383
MTUS2,4.1012187,0.006661730682942919,0.9269594877670725,2.9368188
PHIP,4.456348,0.007438523503552067,0.9269594877670725,2.9335237
LENG8,2.4277422,0.006722887845799918,0.9269594877670725,2.9331067
GFRA1,4.224681,0.008550852718301558,0.9269594877670725,2.9323747
ADGRV1,10.069669,0.006942192110839154,0.9269594877670725,2.9239807
